stockCode,stockNameEn,stockNameZh
00001,CKH HOLDINGS,長和
00002,CLP HOLDINGS,中電控股
00003,HK & CHINA GAS,香港中華煤氣
00004,WHARF HOLDINGS,九龍倉集團
00005,HSBC HOLDINGS,匯豐控股
00006,POWER ASSETS,電能實業
00007,HOIFU ENERGY,凱富能源
00008,PCCW,電訊盈科
00009,NINE EXPRESS,九號運通
00010,HANG LUNG GROUP,恒隆集團
00011,HANG SENG BANK,恒生銀行
00012,HENDERSON LAND,恒基地產
00014,HYSAN DEV,希慎興業
00015,VANTAGE INT'L,盈信控股
00016,SHK PPT,新鴻基地產
00017,NEW WORLD DEV,新世界發展
00018,ORIENTAL PRESS,東方報業集團
00019,SWIRE PACIFIC A,太古股份公司Ａ
00020,WHEELOCK,會德豐
00021,GREAT CHI PPT,大中華地產控股
00022,MEXAN,茂盛控股
00023,BANK OF E ASIA,東亞銀行
00024,BURWILL,寶威控股
00025,CHEVALIER INT'L,CHEVALIER INT'L
00026,CHINA MOTOR BUS,中華汽車
00027,GALAXY ENT,銀河娛樂
00028,TIAN AN,天安
00029,DYNAMIC HOLD,達力集團
00030,BAN LOONG HOLD,萬隆控股集團
00031,CHINA AEROSPACE,航天控股
00032,CROSS-HAR(HOLD),港通控股
00033,ASIA INV FIN,亞投金融集團
00034,KOWLOON DEV,九龍建業
00035,FE CONSORT INTL,遠東發展
00036,FE HLDGS INTL,遠東控股國際
00037,FE HOTELS,遠東酒店實業
00038,FIRST TRACTOR,第一拖拉機股份
00039,CH BEIDAHUANG,中國北大荒
00040,GOLD PEAK,金山工業
00041,GREAT EAGLE H,鷹君
00042,NE ELECTRIC,東北電氣
00043,C.P. POKPHAND,卜蜂國際
00044,HAECO,香港飛機工程
00045,HK&S HOTELS,大酒店
00046,COMPUTER & TECH,科聯系統
00047,HOP HING GROUP,合興集團
00048,C AUTO INT DECO,中國汽車內飾
00050,HK FERRY (HOLD),香港小輪（集團）
00051,HARBOUR CENTRE,海港企業
00052,FAIRWOOD HOLD,FAIRWOOD HOLD
00053,GUOCO GROUP,國浩集團
00054,HOPEWELL HOLD,合和實業
00055,NEWAY GROUP,中星集團控股
00056,ALLIED PPT (HK),聯合地產（香港）
00057,CHEN HSONG HOLD,震雄集團
00058,SUNWAY INT'L,新威國際
00059,SKYFAME REALTY,天譽置業
00060,HK FOOD INV,香港食品投資
00061,NORTH ASIA RES,北亞資源
00062,TRANSPORT INT'L,載通
00063,CHINA GRAPHENE,中國烯谷集團
00064,GET NICE,結好控股
00065,GRAND OCEAN AR,弘海高新資源
00066,MTR CORPORATION,港鐵公司
00067,LUMENA NEWMAT,旭光高新材料
00068,LEE HING,利興發展
00069,SHANGRI-LA ASIA,香格里拉（亞洲）
00070,NEPTUNE GROUP,海王集團
00071,MIRAMAR HOTEL,美麗華酒店
00072,MODERN MEDIA,現代傳播
00073,ASIAN CITRUS,亞洲果業
00075,Y.T. REALTY,渝太地產
00076,SOUTH SEA PETRO,南海石油
00077,AMS TRANSPORT,進智公共交通
00078,REGAL INT'L,REGAL INT'L
00079,CENTURY LEGEND,世紀建業
00081,CH OVS G OCEANS,中國海外宏洋集團
00082,V1 GROUP,第一視頻
00083,SINO LAND,信和置業
00084,STELUX HOLDINGS,寶光實業
00085,CHINA ELECTRON,中國電子
00086,SUN HUNG KAI CO,新鴻基公司
00087,SWIRE PACIFIC B,太古股份公司Ｂ
00088,TAI CHEUNG HOLD,TAI CHEUNG HOLD
00089,TAI SANG LAND,大生地產
00090,AMBER ENERGY,琥珀能源
00091,INT'L STD RES,標準資源控股
