date,companyName,stockCode,openPrice,bidPrice,askPrice,highPrice,lowPrice,closePrice,shareTraded,turnover
6/6/2017,長和,00001,100.8,101.6,101.7,101.7,100.1,101.6,3243512,32851727
6/6/2017,中電控股,00002,83.65,84.4,84.5,84.55,83.45,84.5,2250425,18949244
6/6/2017,香港中華煤氣,00003,16.74,16.74,16.78,16.8,16.72,16.74,11647867,19522656
6/6/2017,九龍倉集團,00004,69.6,71.4,71.45,71.75,69.45,71.45,8460704,59835854
6/6/2017,匯豐控股,00005,68.25,68.75,68.8,69,68,68.75,29624206,203534543
6/6/2017,電能實業,00006,71.15,71.3,71.45,71.5,70.95,71.3,2677982,19083535
6/6/2017,凱富能源,00007,0.94,0.92,0.94,0.94,0.92,0.94,576000,53174
6/6/2017,電訊盈科,00008,4.5,4.5,4.51,4.5,4.47,4.5,7337554,3294157
6/6/2017,九號運通,00009,0.34,0.33,0.335,0.345,0.32,0.335,23370200,766095
6/6/2017,恒隆集團,00010,32.7,33.3,33.35,33.6,32.8,33.35,529242,1762716
6/6/2017,恒生銀行,00011,163.9,165,165.1,165.5,163.8,165,585017,9645224
6/6/2017,恒基地產,00012,51.7,52.55,52.6,52.7,51.5,52.55,7137568,37283979
6/6/2017,希慎興業,00014,36.65,37.45,37.5,37.7,36.55,37.5,1606807,6009066
6/6/2017,盈信控股,00015,1.12,1.11,1.12,1.12,1.11,1.11,112000,12502
6/6/2017,新鴻基地產,00016,118.3,124,124.1,124.1,118,124.1,14600339,178165268
6/6/2017,新世界發展,00017,10.04,10.78,10.8,10.8,10,10.78,67999112,71302914
6/6/2017,東方報業集團,00018,0.91,0.9,0.91,0.91,0.9,0.9,74000,6684
6/6/2017,太古股份公司Ａ,00019,77.1,77.65,77.7,77.95,77.2,77.7,1907006,14796020
6/6/2017,會德豐,00020,60.9,63.15,63.45,63.5,60.8,63.45,1652895,10356753
6/6/2017,大中華地產控股,00021,0.255,0.238,0.255,NaN,NaN,0.255,NaN,NaN
6/6/2017,茂盛控股,00022,0.33,0.325,0.335,0.34,0.335,0.335,200000,6760
6/6/2017,東亞銀行,00023,32.9,32.95,33,33.1,32.8,32.95,1182039,3898439
6/6/2017,寶威控股,00024,0.206,0.203,0.205,0.21,0.203,0.205,2006000,41459
6/6/2017,CHEVALIER INT'L,00025,13.28,13.4,13.48,13.4,13.22,13.4,14000,18624
6/6/2017,中華汽車,00026,103.8,106.8,108.6,108.7,103.8,108,5400,56908
6/6/2017,銀河娛樂,00027,45,44.25,44.35,45.35,44.2,44.25,13202499,58906001
6/6/2017,天安,00028,5.74,5.59,5.66,5.7,5.55,5.65,483000,271248
6/6/2017,達力集團,00029,7.26,7.26,7.3,7.3,7.26,7.26,119100,86851
6/6/2017,萬隆控股集團,00030,0.3,0.285,0.295,0.3,0.28,0.29,17327000,500023
6/6/2017,航天控股,00031,1.01,1,1.01,1.01,1,1.01,2763200,277374
6/6/2017,港通控股,00032,11.58,11.58,11.64,11.74,11.58,11.58,26883,31193
6/6/2017,亞投金融集團,00033,0.087,0.087,0.09,0.09,0.087,0.09,5152000,45605
6/6/2017,九龍建業,00034,8.63,8.68,8.73,8.73,8.61,8.71,345000,299458
